"Area_Actual","Area","Primary_Type","Multi_Type","Primary_Tenure","Median_PSF","Transactions","Actual","Predicted"
"klang","klang","terrace house",0,1,430.000000000001,30.0000000000001,878999.999999988,696140.424108958
"georgetown","Other","apartment",0,0,402,30.0000000000001,260000.000000009,312438.573691847
"bahau","Other","terrace house",0,0,184.000000000001,28.9999999999999,239999.000000005,267670.615437663
"tasek gelugor","Other","terrace house",0,1,157,28.9999999999999,343800.000000005,238849.678145517
"tanjong duabelas","Other","terrace house",0,0,499.999999999999,27.9999999999999,759999.99999999,722171.13417768
"kulai","Other","terrace house",0,1,457.000000000003,27.9999999999999,685000.000000026,689909.333036055
"kampar","Other","terrace house",0,0,195.000000000001,27.9999999999999,272499.99999999,283754.168596971
"tronoh","Other","terrace house",0,0,190.000000000001,27.9999999999999,263000,276535.283333288
"shah alam","shah alam","flat",0,1,287,27.9999999999999,207500.000000002,193026.459712307
"kuala selangor","Other","terrace house",0,1,258.000000000001,27,307999.999999996,391559.241581236
"rawang","Other","terrace house",0,1,322.000000000001,27,460000.00000001,487833.643484646
"chemor","Other","terrace house",0,1,279.000000000001,27,398799.999999992,423168.101092945
"port klang","Other","terrace house",0,1,249.000000000001,27,420000.00000002,378006.442618127
"serendah","Other","flat",0,0,187.000000000001,27,129999.999999998,115367.725836741
"tampoi","Other","terrace house",0,0,288.000000000001,25.9999999999999,299999.999999989,418450.823779123
"rasah","Other","terrace house",0,1,171.999999999999,25.9999999999999,204999.999999991,262089.255659365
"seri kembangan","Other","terrace house",0,0,341.999999999998,25.9999999999999,722499.999999983,496234.752161066
"bangi","Other","semi d",0,1,334,25,1068000.00000002,701840.751269024
"bandar kinrara","Other","semi d",1,1,610.000000000002,25,2400000.00000006,1362709.44614686
"petaling jaya","Other","terrace house",0,0,332.999999999999,25,714999.999999969,483681.609295437
"durian tunggal","Other","terrace house",0,0,213.000000000001,25,280000.000000004,310478.36542343
"ampang","ampang","terrace house",1,0,442.000000000001,25,505000.000000002,616096.452206005
"bukit mertajam","bukit mertajam","apartment",0,1,288.000000000001,25,179999.999999991,214429.19120868
"skudai","skudai","flat",0,0,244,25,150000.000000001,154974.479245766
"bandar utama","Other","apartment",0,0,575.999999999999,25,449999.999999999,448136.135424045
"ipoh","ipoh","cluster house",0,0,168,24.0000000000001,427999.999999986,291605.809502089
"sandakan","Other","terrace house",0,0,273,24.0000000000001,325000.000000008,397501.211704271
"seremban","Other","terrace house",1,1,276,24.0000000000001,492500.00000001,448328.228357771
"serendah","Other","terrace house",0,1,306,24.0000000000001,398040.000000001,464944.799706087
"klang","klang","apartment",0,1,419.999999999998,24.0000000000001,380000.000000012,367601.826844406
"mont kiara","Other","condominium",0,1,839.000000000004,24.0000000000001,2799999.99999991,981132.146390719
"chemor","Other","terrace house",0,0,244,23,342239.999999989,355914.11638313
"rasah","Other","bungalow",0,1,128,23,620000.000000015,365173.268788682
"batu berendam","Other","terrace house",0,0,226.999999999999,23,299999.999999989,331306.190706557
"jelutong","Other","flat",0,0,451.999999999999,23,282000.000000014,277861.848914322
"muar","Other","terrace house",0,1,295,22.0000000000001,489999.999999995,449192.237204715
"mentakab","Other","terrace house",0,1,160.000000000001,22.0000000000001,170000,244812.59463647
"ulu bernam","Other","terrace house",0,1,198.000000000001,22.0000000000001,252500.000000012,302444.916498826
"puchong","puchong","terrace house",0,0,341.999999999998,22.0000000000001,374999.999999982,534445.214235139
"cheras","cheras","condominium",0,1,458.000000000002,22.0000000000001,457499.999999994,548478.172606494
"johor bahru","johor bahru","apartment",0,1,332,22.0000000000001,351500.000000015,327811.010098304
"sungai dua","Other","flat",0,0,327.999999999999,22.0000000000001,179999.999999991,202338.169959798
"seri kembangan","Other","service residence",0,0,379.000000000001,22.0000000000001,297499.999999994,324432.939281008
"tebrau","tebrau","terrace house",1,1,530.000000000001,20.9999999999999,959999.999999982,918549.640842311
"senawang","Other","terrace house",0,1,245.999999999999,20.9999999999999,439999.999999981,375491.347992553
"lahat","Other","terrace house",0,0,267,20.9999999999999,318879.999999993,389940.120971585
"bukit kepayang","Other","terrace house",0,1,230.999999999999,20.9999999999999,380000.000000012,352771.200435765
"kuantan","kuantan","terrace house",0,0,153.000000000001,20.9999999999999,170000,221223.959799328
"setapak","Other","terrace house",0,1,341.000000000001,20.9999999999999,600000.000000009,519154.271137999
"tanjong minyak","Other","terrace house",0,1,200.000000000001,20.9999999999999,239999.999999993,305778.254137881
"tebrau","tebrau","flat",0,1,438.000000000002,20.9999999999999,250000.000000004,301410.933145517
"kl sentral","Other","service residence",0,1,2263.99999999999,20.9999999999999,3715000.00000001,1997759.93174176
"bayan lepas","Other","condominium",0,1,492.000000000001,20.9999999999999,449999.999999999,579428.978273287
"lenggeng","Other","terrace house",0,1,373.000000000002,20,529500.000000001,568059.109288419
"sitiawan","sitiawan","cluster house",0,1,129,20,247999.999999995,249197.429524284
"kota tinggi","Other","cluster house",0,1,319.999999999999,20,776899.99999999,594503.133608535
"johor bahru","johor bahru","town house",0,1,272.000000000001,20,319999.999999997,522889.488678783
"tampoi","Other","terrace house",0,1,283.000000000001,20,432500.000000012,431937.142592873
"sungai petani","sungai petani","terrace house",0,1,164,20,200000.000000005,233975.002850993
"perai","Other","flat",0,1,195.000000000001,20,110000.000000005,126416.61475144
"port dickson","Other","condominium",0,1,117,20,95000.0000000021,139511.638475174
"subang jaya","subang jaya","service residence",0,1,378.000000000001,20,290000.000000013,364458.915549509
"seremban 2","Other","terrace house",0,1,220,19,369999.999999997,336819.174963547
"bintulu","Other","terrace house",0,1,44,19,79999.9999999985,68227.6650766642
"bagan serai","Other","terrace house",1,1,168.999999999999,19,263800.000000013,276961.794094555
"krubong","Other","bungalow",1,1,317,19,443799.999999987,963049.637193742
"bandar sri sendayan","Other","terrace house",0,0,192,19,250000.000000004,281738.958249236
"rawang","Other","terrace house",0,1,408.999999999999,19,836999.99999999,623110.9701361
"mont kiara","Other","service residence",0,1,1106,19,1009999.99999996,983581.522983515
"mont kiara","Other","condominium",0,1,755.999999999998,19,2050000.00000002,889211.712951864
"jelutong","Other","condominium",0,0,550.999999999998,19,519999.999999995,622051.036010818
"setia alam","Other","apartment",0,1,347.999999999999,19,330000.000000012,285583.334275644
"penampang","Other","flat",0,0,284.000000000001,19,189999.999999996,175943.347137149
"batu ferringhi","Other","condominium",0,1,447.000000000001,19,529999.999999998,527955.917155434
"taiping","Other","terrace house",0,1,317,17.9999999999999,528799.999999993,484481.614849627
"bandar menjalara","Other","terrace house",0,0,599,17.9999999999999,850000.000000001,872088.104732684
"batu gajah","Other","terrace house",0,0,154,17.9999999999999,237999.999999997,226633.713013472
"taman desa","Other","terrace house",0,1,672,17.9999999999999,1425000.00000002,1020948.73232112
"putrajaya","Other","semi d",1,1,465.000000000002,17.9999999999999,880000.000000009,1048326.32194105
"kota samarahan","Other","apartment",1,0,259.000000000001,17.9999999999999,170000,218134.588599188
"shah alam","shah alam","flat",0,1,280,17.9999999999999,168999.999999998,190135.161426102
"jalan klang lama (old klang road)","Other","service residence",0,1,1097,17.9999999999999,778800.000000015,976764.313897324
"shah alam","shah alam","terrace house",0,0,394.999999999999,17.0000000000001,699999.99999997,605473.925254444
