"Township","Area","State","Primary_Type","Multi_Type","Primary_Tenure","Median_PSF","Transactions","Actual","Predicted","Error","Percent_Error"
"taman nusa bestari 2","iskandar puteri (nusajaya)","johor","terrace house",0,1,363,52.9999999999999,540000.000000024,475129.340922331,-64870.6590776927,-12.013085014387
"bandar tasik senangin","lenggeng","negeri sembilan","bungalow",0,1,105,52.9999999999999,434999.999999991,341680.88425141,-93319.1157485814,-21.4526702870306
"taman langat utama 3","tanjong duabelas","selangor","terrace house",0,0,281.999999999999,52.9999999999999,410000.000000004,443597.27385271,33597.2738527066,8.19445703724544
"bukit banyan","sungai petani","kedah","town house",1,1,267,51.0000000000002,499900.000000019,388162.440386082,-111737.559613937,-22.3519823192504
"bandar rinching","semenyih","selangor","terrace house",0,1,291.999999999999,51.0000000000002,399999.999999992,443652.605643918,43652.6056439252,10.9131514109815
"taman air manis","sabak bernam","selangor","cluster house",1,0,178.999999999999,50.0000000000002,250000.000000004,326393.23462544,76393.234625436,30.5572938501739
"taman bertam heights","tanjong minyak","melaka","terrace house",0,1,138.000000000001,50.0000000000002,179999.999999991,217153.576209662,37153.5762096709,20.6408756720404
"taman pasir putih","pasir gudang","johor","terrace house",0,1,273,50.0000000000002,374999.999999982,396837.157311961,21837.1573119788,5.82324194986129
"taman sri skudai","skudai","johor","terrace house",0,1,283.000000000001,49.0000000000002,399999.999999992,442771.435225609,42771.4352256171,10.6928588064045
"taman lestari puchong","seri kembangan","selangor","terrace house",0,0,338,49.0000000000002,507999.99999999,484584.507398432,-23415.4926015577,-4.6093489373146
"taman bakti [yns]","labu","negeri sembilan","terrace house",0,1,67.0000000000003,47.9999999999999,79999.9999999985,79457.2172520024,-542.782747996098,-0.678478434995135
"kepong baru","kepong","kuala lumpur","terrace house",0,1,445,47.9999999999999,667499.999999973,798941.322222633,131441.322222661,19.6915838535829
"alam perdana","ijok","selangor","terrace house",0,0,189,47.0000000000001,309999.999999991,257276.918133372,-52723.0818666194,-17.0074457634261
"taman krubong jaya","krubong","melaka","terrace house",0,0,223,47.0000000000001,290000.000000013,287753.095231331,-2246.90476868139,-0.774794747821134
"scientex seremban","seremban","negeri sembilan","terrace house",0,1,272.000000000001,44,380000.000000012,402308.805759483,22308.8057594711,5.87073835775538
"bandar utama batang kali","batang kali","selangor","terrace house",1,1,208,44,232499.999999989,310087.039346717,77587.0393467283,33.3707696114977
"tas","kuantan","pahang","terrace house",0,1,158,42.9999999999999,185000.000000007,230775.392078965,45775.3920789578,24.7434551778141
"bandar ekar","rantau","negeri sembilan","terrace house",0,1,144.999999999999,42.0000000000001,235788.999999991,214146.595337123,-21642.4046628678,-9.17871684551385
"rpa sri tanjung","sungai petani","kedah","terrace house",0,1,42.9999999999999,41.0000000000001,27049.000000001,71850.1678487816,44801.1678487806,165.62966412355
"bandar bestari@canary garden","klang","selangor","cluster house",0,1,620.000000000002,40.0000000000001,1449664.99999997,865546.879952363,-584118.120047607,-40.293317424896
"taman desa tanjung minyak (seri bertam)","tanjong minyak","melaka","terrace house",0,0,181.000000000001,39.0000000000001,260000.000000009,284766.415438779,24766.4154387692,9.52554439952628
